semester_code,department,course_id,section,course_name,target_unit,grade_level,course_type,credits,cutoff_weight,year_roc,semester,year_ad,semester_ordinal,course_key,prev_1_weight,prev_2_weight,avg_weight_3sem,avg_weight_all,weight_volatility,semesters_offered,weight_trend,is_required,dept_cluster,popularity_tier,oversubscription_ratio,domain_category,prev_1_oversub_ratio,prev_2_oversub_ratio,avg_oversub_ratio_3sem,prev_1_remaining_spots,demand_trend,instructor_avg_cutoff,instructor_course_count,is_prime_time,num_time_slots
1101,一般通識組,00000629,,發呆與睡眠：有效利用大腦的潛在能量,B00-一般通識組1,1,選修,2.0,57.0,110,1,2021,18,00000629||B00-一般通識組1,70.0,40.0,43.333333333333336,53.5,31.703988032152314,9,-2.3000000000000003,0,通識,very_high,1.2,科學與邏輯思維領域,1.0,0.975,1.075,0.0,-0.125,14.6,8.0,0.0,2.0
1101,體育教學組,0099PE10,D,體育-瑜珈,B99-體育教學組1,1,必修,0.0,27.0,110,1,2021,18,0099PE10|D|B99-體育教學組1,14.0,10.0,18.0,14.909090909090908,9.310795298518226,12,-2.1,1,體育,high,1.0333333333333334,體育,1.0,0.9833333333333332,0.9916666666666666,0.0,0.01666666666666683,15.0,1.0,0.0,2.0
1101,體育教學組,0099PE01,D,體育-羽球,B99-體育教學組1,1,必修,0.0,5.0,110,1,2021,18,0099PE01|D|B99-體育教學組1,2.0,4.0,2.6666666666666665,2.2,1.0954451150103321,6,0.30000000000000004,1,體育,high,1.0,體育,1.0,,1.0,0.0,,8.733333333333333,9.0,1.0,2.0
1101,一般通識組,00000638,,台灣飲食文化史,B00-一般通識組1,1,選修,2.0,4.0,110,1,2021,18,00000638||B00-一般通識組1,0.0,0.0,0.0,9.714285714285714,9.357960705807038,8,-5.699999999999999,0,通識,medium,1.0,人文領域,0.925,1.0,0.9583333333333334,3.0,-0.012499999999999956,1.4,2.0,1.0,2.0
1101,體育教學組,0099PE01,C,體育-羽球,B99-體育教學組1,1,必修,0.0,16.0,110,1,2021,18,0099PE01|C|B99-體育教學組1,17.0,7.0,8.0,7.7,5.078276172963507,11,0.6000000000000001,1,體育,medium,1.0,體育,0.96,1.0,0.9866666666666667,2.0,-0.020000000000000018,8.733333333333333,9.0,1.0,2.0
1101,跨領域學院學士班課程,XC200009,,多媒體平面設計,XB-跨領域學士1,1,選修,1.0,15.0,110,1,2021,18,XC200009||XB-跨領域學士1,30.0,40.0,25.666666666666668,33.4,16.36459593146131,6,-4.0,0,其他,high,1.0,核心課程,0.9444444444444444,0.8611111111111112,0.9027777777777778,2.0,0.08333333333333326,42.5,4.0,,
1101,一般通識組,00000640,,北醫人到故宮：藝術實地學習,B00-一般通識組1,1,選修,2.0,38.0,110,1,2021,18,00000640||B00-一般通識組1,33.0,37.0,40.333333333333336,30.75,16.086818028613187,9,-2.7,0,通識,high,1.0,音樂與藝術領域,1.0,0.9666666666666668,0.9888888888888889,0.0,0.0,33.22222222222222,6.0,0.0,2.0
1101,一般通識組,00000575,,近代東亞社會的環境、衛生與疾病,B00-一般通識組1,1,選修,2.0,10.0,110,1,2021,18,00000575||B00-一般通識組1,1.0,1.0,1.0,1.8,2.3874672772626644,6,-0.30000000000000004,0,通識,medium,1.0,人文領域,0.95,0.95,0.9333333333333332,2.0,0.024999999999999963,0.375,4.0,1.0,2.0
1101,體育教學組,0099PE02,A,體育-游泳,B99-體育教學組1,1,必修,0.0,0.0,110,1,2021,18,0099PE02|A|B99-體育教學組1,0.0,4.0,2.0,2.0,2.8284271247461903,3,-4.0,1,體育,low,1.0,體育,,,,,,15.266666666666667,8.0,0.0,2.0
1101,體育教學組,0099PE04,A,體育-桌球,B99-體育教學組1,1,必修,0.0,30.0,110,1,2021,18,0099PE04|A|B99-體育教學組1,90.0,40.0,53.333333333333336,23.363636363636363,25.338795264466413,12,16.5,1,體育,high,1.0,體育,1.0,1.0,1.0,0.0,0.0,15.266666666666667,8.0,0.0,2.0
